"direccion","barrio","metraje","moneda","precio","operacion","tipoPropiedad","fecha"
"Soldado De La Independencia 700","Las Cañitas",47,"dolares",152800,"venta","departamento",2015-08-20
"Costa Rica 5400","Palermo Hollywood",36,"dolares",86568,"venta","departamento",2015-08-20
"Costa Rica 5400","Palermo Hollywood",30,"dolares",69851,"venta","departamento",2015-08-20
"Costa Rica 5400","Palermo Hollywood",39,"dolares",97094,"venta","departamento",2015-08-20
"Avenida Álvarez Thomas 900","Colegiales",81,"pesos",3260000,"venta","departamento",2015-08-20
"Avenida Álvarez Thomas 900","Colegiales",32,"pesos",1299700,"venta","departamento",2015-08-20
"Rio De Janeiro 600","Caballito",49,"dolares",81000,"venta","departamento",2015-08-20
"Rio De Janeiro 600","Caballito",52,"dolares",87000,"venta","departamento",2015-08-20
"Avenida General Las Heras 3800","Barrio Norte",42,"dolares",147000,"venta","departamento",2015-08-20
"Avenida General Las Heras 3800","Barrio Norte",51,"dolares",147000,"venta","departamento",2015-08-20
"Cabildo 2800","Belgrano",43,"pesos",1259000,"venta","departamento",2015-08-20
"Cabildo 2800","Belgrano",42,"pesos",1259000,"venta","departamento",2015-08-20
"Cabildo 2800","Belgrano",41,"pesos",1259000,"venta","departamento",2015-08-20
"Remedios Escalada De San Martín 900","Villa Crespo",84,"dolares",208883,"venta","departamento",2015-08-20
"Remedios Escalada De San Martín 900","Villa Crespo",45,"dolares",93800,"venta","departamento",2015-08-20
"Remedios Escalada De San Martín 900","Villa Crespo",43,"dolares",86000,"venta","departamento",2015-08-20
"Bahia Blanca 2100","Villa del Parque",50,"dolares",82500,"venta","departamento",2015-08-20
"Bahia Blanca 2100","Villa del Parque",46,"dolares",80000,"venta","departamento",2015-08-20
"Bahia Blanca 2100","Villa del Parque",52,"dolares",78500,"venta","departamento",2015-08-20
"Manuela Pedraza 1700","Nuñez",45,"dolares",127260,"venta","departamento",2015-08-20
"Manuela Pedraza 1700","Nuñez",39,"dolares",109284,"venta","departamento",2015-08-20
"Manuela Pedraza 1700","Nuñez",78,"dolares",219128,"venta","departamento",2015-08-20
"Manuela Pedraza 1700","Nuñez",69,"dolares",204140,"venta","departamento",2015-08-20
"Naon Romulo 3500","Saavedra",109,"dolares",255000,"venta","departamento",2015-08-20
"Naon Romulo 3500","Saavedra",115,"dolares",255000,"venta","departamento",2015-08-20
"Soler 3200","Barrio Norte",47,"dolares",120000,"venta","departamento",2015-08-20
"Soler 3200","Barrio Norte",117,"dolares",285000,"venta","departamento",2015-08-20
"Bogotá 100","Caballito",70,"dolares",164736,"venta","departamento",2015-08-20
"Bogotá 100","Caballito",72,"dolares",177661,"venta","departamento",2015-08-20
"José Ignacio Gorriti 3700","Palermo",65,"dolares",130000,"venta","departamento",2015-08-20
"Oro 2600","Palermo",38,"dolares",89000,"venta","departamento",2015-08-20
"Oro 2600","Palermo",29,"dolares",89000,"venta","departamento",2015-08-20
"Blanco Encalada 3000","Belgrano",66,"dolares",179500,"venta","departamento",2015-08-20
"Blanco Encalada 3000","Belgrano",40,"dolares",83000,"venta","departamento",2015-08-20
"Blanco Encalada 3000","Belgrano",32,"dolares",82000,"venta","departamento",2015-08-20
"Naon Romulo 3500","Saavedra",48,"dolares",115000,"venta","departamento",2015-08-20
"Avenida Doctor Honorio Pueyrredón 500","Caballito",79,"dolares",189363,"venta","departamento",2015-08-20
"Avenida Doctor Honorio Pueyrredón 500","Caballito",59,"dolares",131614,"venta","departamento",2015-08-20
"Zuviria 800","Caballito",44,"dolares",88000,"venta","departamento",2015-08-20
"Zuviria 800","Caballito",48,"dolares",95000,"venta","departamento",2015-08-20
"Zuviria 800","Caballito",47,"dolares",91000,"venta","departamento",2015-08-20
"Eduardo Holmberg 4100","Saavedra",50,"pesos",1389150,"venta","departamento",2015-08-20
"Eduardo Holmberg 4100","Saavedra",40,"pesos",1116281,"venta","departamento",2015-08-20
"Eduardo Holmberg 4100","Saavedra",34,"pesos",905625,"venta","departamento",2015-08-20
"Avenida Juan B Justo 3600","Villa Crespo",45,"pesos",1202250,"venta","departamento",2015-08-20
"Avenida Juan B Justo 3600","Villa Crespo",31,"pesos",813750,"venta","departamento",2015-08-20
"Avenida Juan B Justo 3600","Villa Crespo",32,NA,NA,"venta","departamento",2015-08-20
"Franklin Roosevelt 3100","Coghlan",38,"pesos",1196579,"venta","departamento",2015-08-20
"Franklin Roosevelt 3100","Coghlan",60,"pesos",2551297,"venta","departamento",2015-08-20
"Coronel Niceto Vega 5600","Palermo Hollywood",47,"pesos",1220000,"venta","departamento",2015-08-20
"Coronel Niceto Vega 5600","Palermo Hollywood",49,"pesos",1200000,"venta","departamento",2015-08-20
"Cachimayo 700","Caballito",36,"pesos",861367,"venta","departamento",2015-08-20
"Cachimayo 700","Caballito",44,"pesos",1107847,"venta","departamento",2015-08-20
"Miralla 1000","Mataderos",35,"pesos",771400,"venta","departamento",2015-08-20
"Miralla 1000","Mataderos",47,"pesos",1048950,"venta","departamento",2015-08-20
"Vallejos 3300","Villa Devoto",45,"dolares",80122,"venta","departamento",2015-08-20
"Pedro Lozano 2900","Villa del Parque",78,"dolares",180000,"venta","departamento",2015-08-20
"Av. Directorio 3400","Floresta",58,"dolares",97300,"venta","departamento",2015-08-20
"Av. Directorio 3400","Floresta",85,"dolares",142800,"venta","departamento",2015-08-20
"Av. Directorio 3400","Floresta",58,"dolares",96100,"venta","departamento",2015-08-20
"Av. Directorio 3400","Floresta",85,"dolares",148600,"venta","departamento",2015-08-20
"San Blas 2700","Villa Del Parque",40,"dolares",64480,"venta","departamento",2015-08-20
"San Blas 2700","Villa Del Parque",37,"dolares",60240,"venta","departamento",2015-08-20
"San Blas 2700","Villa Del Parque",58,"dolares",90675,"venta","departamento",2015-08-20
"San Blas 2700","Villa Del Parque",58,"dolares",99450,"venta","departamento",2015-08-20
"Alberdi, Juan B., Av. 4300","Velez Sarsfield",62,"pesos",1046228,"venta","departamento",2015-08-20
"Alberdi, Juan B., Av. 4300","Velez Sarsfield",72,"pesos",1109106,"venta","departamento",2015-08-20
"Alberdi, Juan B., Av. 4300","Velez Sarsfield",76,"pesos",1191003,"venta","departamento",2015-08-20
"Justo, Juan B. Avda. 2300","Villa Crespo",40,"dolares",68471,"venta","departamento",2015-08-20
"Justo, Juan B. Avda. 2300","Villa Crespo",40,"dolares",69163,"venta","departamento",2015-08-20
"Justo, Juan B. Avda. 2300","Villa Crespo",40,"dolares",69862,"venta","departamento",2015-08-20
"Justo, Juan B. Avda. 2300","Villa Crespo",40,"dolares",70557,"venta","departamento",2015-08-20
"Liniers, Virrey 1200","Boedo",86,"dolares",100000,"venta","departamento",2015-08-20
"Liniers, Virrey 1200","Boedo",54,"dolares",87000,"venta","departamento",2015-08-20
"Liniers, Virrey 1200","Boedo",54,"dolares",89000,"venta","departamento",2015-08-20
"Humberto 1 3000","San Cristobal",42,"dolares",74000,"venta","departamento",2015-08-20
"Humberto 1 3000","San Cristobal",42,"dolares",72000,"venta","departamento",2015-08-20
"Humberto 1 3000","San Cristobal",42,"dolares",67000,"venta","departamento",2015-08-20
"Vera 800","Villa Crespo",26,"pesos",950583,"venta","departamento",2015-08-20
"Vera 800","Villa Crespo",26,"pesos",924891,"venta","departamento",2015-08-20
"Vera 800","Villa Crespo",43,"pesos",935470,"venta","departamento",2015-08-20
"Vera 800","Villa Crespo",36,"pesos",988364,"venta","departamento",2015-08-20
"Estado De Israel, Av. 4300","Almagro",54,"dolares",115000,"venta","departamento",2015-08-20
"Pedro Echagüe 1700","Parque Patricios",52,"dolares",64000,"venta","departamento",2015-08-20
"Castro 1100","Boedo",32,"pesos",1434800,"venta","departamento",2015-08-20
"Castro 1100","Boedo",68,"pesos",2113400,"venta","departamento",2015-08-20
"Arias 3100","Saavedra",26,"dolares",55000,"venta","departamento",2015-08-20
"Arias 3100","Saavedra",34,"dolares",65000,"venta","departamento",2015-08-20
